uid,title,summary,type,color,start,end,location,link
schedule-request-2566699-occurrence-6310805,2566699 - Girls Junior Varsity Volleyball @ South Range High School,2566699 - Girls Junior Varsity Volleyball @ South Range High School,Athletics - Away,#de0720,2025-08-21 5:30 PM,2025-08-21 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566699/occurrences/6310805
schedule-request-2566700-occurrence-6310806,2566700 - Girls Varsity Volleyball @ South Range High School,2566700 - Girls Varsity Volleyball @ South Range High School,Athletics - Away,#de0720,2025-08-21 7:15 PM,2025-08-21 9:15 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566700/occurrences/6310806
schedule-request-2566703-occurrence-6310809,2566703 - Girls Junior Varsity Volleyball @ Girard Jr/Sr HS,2566703 - Girls Junior Varsity Volleyball @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-08-28 5:30 PM,2025-08-28 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566703/occurrences/6310809
schedule-request-2566704-occurrence-6310810,2566704 - Girls Varsity Volleyball @ Girard Jr/Sr HS,2566704 - Girls Varsity Volleyball @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-08-28 7:00 PM,2025-08-28 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566704/occurrences/6310810
schedule-request-2566705-occurrence-6310811,2566705 - Girls Junior Varsity Volleyball @ Hubbard High School,2566705 - Girls Junior Varsity Volleyball @ Hubbard High School,Athletics - Away,#de0720,2025-09-02 5:30 PM,2025-09-02 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566705/occurrences/6310811
schedule-request-2566706-occurrence-6310812,2566706 - Girls Varsity Volleyball @ Hubbard High School,2566706 - Girls Varsity Volleyball @ Hubbard High School,Athletics - Away,#de0720,2025-09-02 7:00 PM,2025-09-02 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566706/occurrences/6310812
schedule-request-2566709-occurrence-6310815,2566709 - Girls Junior Varsity Volleyball @ Niles McKinley High School,2566709 - Girls Junior Varsity Volleyball @ Niles McKinley High School,Athletics - Away,#de0720,2025-09-11 5:30 PM,2025-09-11 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566709/occurrences/6310815
schedule-request-2566710-occurrence-6310816,2566710 - Girls Varsity Volleyball @ Niles McKinley High School,2566710 - Girls Varsity Volleyball @ Niles McKinley High School,Athletics - Away,#de0720,2025-09-11 7:00 PM,2025-09-11 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566710/occurrences/6310816
schedule-request-2566713-occurrence-6310819,2566713 - Girls Junior Varsity Volleyball @ Lakeview High School,2566713 - Girls Junior Varsity Volleyball @ Lakeview High School,Athletics - Away,#de0720,2025-09-18 5:30 PM,2025-09-18 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566713/occurrences/6310819
schedule-request-2566714-occurrence-6310820,2566714 - Girls Varsity Volleyball @ Lakeview High School,2566714 - Girls Varsity Volleyball @ Lakeview High School,Athletics - Away,#de0720,2025-09-18 7:00 PM,2025-09-18 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566714/occurrences/6310820
schedule-request-2566719-occurrence-6310825,2566719 - Girls Junior Varsity Volleyball @ Struthers High School,2566719 - Girls Junior Varsity Volleyball @ Struthers High School,Athletics - Away,#de0720,2025-10-02 5:30 PM,2025-10-02 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566719/occurrences/6310825
schedule-request-2566720-occurrence-6310826,2566720 - Girls Varsity Volleyball @ Struthers High School,2566720 - Girls Varsity Volleyball @ Struthers High School,Athletics - Away,#de0720,2025-10-02 7:00 PM,2025-10-02 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2566720/occurrences/6310826
schedule-request-2567472-occurrence-6315375,2567472 - Boys Varsity Football @ Salem Jr/Sr High School,2567472 - Boys Varsity Football @ Salem Jr/Sr High School,Athletics - Away,#de0720,2025-08-22 7:00 PM,2025-08-22 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2567472/occurrences/6315375
schedule-request-2567474-occurrence-6315377,2567474 - Boys Varsity Football @ Hubbard High School,2567474 - Boys Varsity Football @ Hubbard High School,Athletics - Away,#de0720,2025-09-19 7:00 PM,2025-09-19 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2567474/occurrences/6315377
schedule-request-2567476-occurrence-6315379,2567476 - Boys Varsity Football @ Niles McKinley High School,2567476 - Boys Varsity Football @ Niles McKinley High School,Athletics - Away,#de0720,2025-10-03 7:00 PM,2025-10-03 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2567476/occurrences/6315379
schedule-request-2567477-occurrence-6315380,2567477 - Boys Varsity Football @ Girard Jr/Sr HS,2567477 - Boys Varsity Football @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-10-10 7:00 PM,2025-10-10 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2567477/occurrences/6315380
schedule-request-2567850-occurrence-6317084,2567850 - Girls Junior Varsity Volleyball @ Boardman High School,2567850 - Girls Junior Varsity Volleyball @ Boardman High School,Athletics - Away,#de0720,2025-09-08 5:30 PM,2025-09-08 7:30 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2567850/occurrences/6317084
schedule-request-2567851-occurrence-6317085,2567851 - Girls Varsity Volleyball @ Boardman High School,2567851 - Girls Varsity Volleyball @ Boardman High School,Athletics - Away,#de0720,2025-09-08 7:00 PM,2025-09-08 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2567851/occurrences/6317085
schedule-request-2571684-occurrence-6332193,2571684 - Girls 7th Volleyball @ South Range Middle School,2571684 - Girls 7th Volleyball @ South Range Middle School,Athletics - Away,#de0720,2025-08-20 5:00 PM,2025-08-20 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571684/occurrences/6332193
schedule-request-2571685-occurrence-6332194,2571685 - Girls 8th Volleyball @ South Range Middle School,2571685 - Girls 8th Volleyball @ South Range Middle School,Athletics - Away,#de0720,2025-08-20 6:00 PM,2025-08-20 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571685/occurrences/6332194
schedule-request-2571686-occurrence-6332195,2571686 - POSTPONED: Girls 7th Volleyball @ Lakeview Middle School-Cortland,2571686 - POSTPONED: Girls 7th Volleyball @ Lakeview Middle School-Cortland,Athletics - Away,#de0720,2025-08-25 5:00 PM,2025-08-25 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571686/occurrences/6332195
schedule-request-2571687-occurrence-6332196,2571687 - POSTPONED: Girls 8th Volleyball @ Lakeview Middle School-Cortland,2571687 - POSTPONED: Girls 8th Volleyball @ Lakeview Middle School-Cortland,Athletics - Away,#de0720,2025-08-25 6:00 PM,2025-08-25 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571687/occurrences/6332196
schedule-request-2571688-occurrence-6332197,2571688 - Girls 7th Volleyball @ Girard Jr/Sr HS,2571688 - Girls 7th Volleyball @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-08-27 5:00 PM,2025-08-27 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571688/occurrences/6332197
schedule-request-2571689-occurrence-6332198,2571689 - Girls 8th Volleyball @ Girard Jr/Sr HS,2571689 - Girls 8th Volleyball @ Girard Jr/Sr HS,Athletics - Away,#de0720,2025-08-27 6:00 PM,2025-08-27 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571689/occurrences/6332198
schedule-request-2571690-occurrence-6332199,2571690 - Girls 7th Volleyball @ Hubbard MS,2571690 - Girls 7th Volleyball @ Hubbard MS,Athletics - Away,#de0720,2025-09-02 5:00 PM,2025-09-02 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571690/occurrences/6332199
schedule-request-2571691-occurrence-6332200,2571691 - Girls 8th Volleyball @ Hubbard MS,2571691 - Girls 8th Volleyball @ Hubbard MS,Athletics - Away,#de0720,2025-09-02 6:00 PM,2025-09-02 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571691/occurrences/6332200
schedule-request-2571694-occurrence-6332203,2571694 - Girls 7th Volleyball @ Niles Middle School,2571694 - Girls 7th Volleyball @ Niles Middle School,Athletics - Away,#de0720,2025-09-10 5:00 PM,2025-09-10 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571694/occurrences/6332203
schedule-request-2571695-occurrence-6332204,2571695 - Girls 8th Volleyball @ Niles Middle School,2571695 - Girls 8th Volleyball @ Niles Middle School,Athletics - Away,#de0720,2025-09-10 6:00 PM,2025-09-10 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571695/occurrences/6332204
schedule-request-2571698-occurrence-6332207,2571698 - Girls 7th Volleyball @ Lakeview Middle School-Cortland,2571698 - Girls 7th Volleyball @ Lakeview Middle School-Cortland,Athletics - Away,#de0720,2025-08-25 5:00 PM,2025-08-25 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571698/occurrences/6332207
schedule-request-2571699-occurrence-6332208,2571699 - Girls 8th Volleyball @ Lakeview Middle School-Cortland,2571699 - Girls 8th Volleyball @ Lakeview Middle School-Cortland,Athletics - Away,#de0720,2025-08-25 6:00 PM,2025-08-25 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571699/occurrences/6332208
schedule-request-2571704-occurrence-6332213,2571704 - Girls 7th Volleyball @ Struthers MS,2571704 - Girls 7th Volleyball @ Struthers MS,Athletics - Away,#de0720,2025-10-01 5:00 PM,2025-10-01 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571704/occurrences/6332213
schedule-request-2571705-occurrence-6332214,2571705 - Girls 8th Volleyball @ Struthers MS,2571705 - Girls 8th Volleyball @ Struthers MS,Athletics - Away,#de0720,2025-10-01 6:00 PM,2025-10-01 8:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2571705/occurrences/6332214
schedule-request-2573212-occurrence-6341010,2573212 - Boys Junior Varsity Football @ East High School (Youngstown),2573212 - Boys Junior Varsity Football @ East High School (Youngstown),Athletics - Away,#de0720,2025-08-30 10:00 AM,2025-08-30 12:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573212/occurrences/6341010
schedule-request-2573213-occurrence-6341011,2573213 - Boys Junior Varsity Football @ Struthers High School,2573213 - Boys Junior Varsity Football @ Struthers High School,Athletics - Away,#de0720,2025-09-06 10:00 AM,2025-09-06 12:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573213/occurrences/6341011
schedule-request-2573214-occurrence-6341012,2573214 - Boys Junior Varsity Football @ Canfield High School,2573214 - Boys Junior Varsity Football @ Canfield High School,Athletics - Away,#de0720,2025-09-13 10:00 AM,2025-09-13 12:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573214/occurrences/6341012
schedule-request-2573216-occurrence-6341014,2573216 - Boys Junior Varsity Football @ South Range High School,2573216 - Boys Junior Varsity Football @ South Range High School,Athletics - Away,#de0720,2025-09-27 10:00 AM,2025-09-27 12:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573216/occurrences/6341014
schedule-request-2573330-occurrence-6341476,2573330 - Girls Junior Varsity Soccer @ Canfield High School (1/2 Only),2573330 - Girls Junior Varsity Soccer @ Canfield High School (1/2 Only),Athletics - Away,#de0720,2025-10-06 5:45 PM,2025-10-06 7:45 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573330/occurrences/6341476
schedule-request-2573331-occurrence-6341477,2573331 - Girls Varsity Soccer @ Canfield High School,2573331 - Girls Varsity Soccer @ Canfield High School,Athletics - Away,#de0720,2025-10-06 7:00 PM,2025-10-06 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2573331/occurrences/6341477
schedule-request-2574221-occurrence-6345353,2574221 - Boys Junior Varsity Soccer @ Salem Jr/Sr High School,2574221 - Boys Junior Varsity Soccer @ Salem Jr/Sr High School,Athletics - Away,#de0720,2025-09-11 5:00 PM,2025-09-11 7:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574221/occurrences/6345353
schedule-request-2574222-occurrence-6345354,2574222 - Boys Varsity Soccer @ Salem Jr/Sr High School,2574222 - Boys Varsity Soccer @ Salem Jr/Sr High School,Athletics - Away,#de0720,2025-09-11 7:00 PM,2025-09-11 9:00 PM,"3199 Dobbins Rd. Poland, Ohio 44514",https://polandschools.gofmx.com/scheduling/requests/2574222/occurrences/6345354
