Request Type,Color,ICS Link
Athletics - Away,#de0720,https://polandschools.gofmx.com/calendar.ics?t3=engYfd-LUxjgdWyvaMa22C9eN9obGz7NFN9OVWl2U7tqasfBVT_xi-hvHb6lkPdn4LlPAp0FgRDBce8KQqbY-c93z2wZmQcfXlE6o_w6bfc5HsgRdRf0F3e6nRIYTSlk
Athletics - Home,#131cf0,https://polandschools.gofmx.com/calendar.ics?t3=8G5I_Q154EFZ0-nz5YV2o9Q_V3KpeQt4J-Y6qvKNrMR-9DtoZz-2xNS31bZ0N2RTNyjuEDCVjZcHef8PFGx9smRkjy1MbWGrCSaKb0hI1q-2XyJVfLXQx6YbNYuzuxEt
Board Meeting,#00328f,https://polandschools.gofmx.com/calendar.ics?t3=JkwPeHV09ZACKLBcSmlPxC4zhQmx6_EoN7EzpV-FqrV1RahGUMsYDLWUz_09Q3k6cGpAUGEJ1ynPtKozHG-Dk8rPY1TaI6WgBPdjBK8OI-GfTRSXBRejiyDPam1ADskS
CLOSED,#828282,https://polandschools.gofmx.com/calendar.ics?t3=YwbzaFxheZCUtaGeAL9OwaYC8AAvxMKJf3Qp4lQEWPdiSP4PzUUwGeXDbnG_YyfTSg9gVLYT16W_vkdx6BYbtSYdqMk47_Z5_CC_STrFxgaKXiU7Cz3-5IEWZtkBiHA6
Community Event,#ddf007,https://polandschools.gofmx.com/calendar.ics?t3=9kcvayjTAS76-_laeZcbxIWZE2L6m_h3Wq7yzRn_Ya9R9T6sVIPKy6zmcj5dBexZ7glMIDaDC944YHY8ARNfMOCpJiAoHntkQrLiDFBgipD0LtAqmK0JQuCoBOsLuwPg
Community Member Rental,#b57838,https://polandschools.gofmx.com/calendar.ics?t3=MGsZIRIxN2MdcBlvtwYlz3sx7zAQ187lo6hGEbDMrxXyxzk2dq1hLa-hTSoY4FpJrT4GQgxOxpZZ0zHW5RLbO2n34oIKkLXATHBfwATqdoaCcrN86enhSNxGKzVrTCJ1
Other,#828282,https://polandschools.gofmx.com/calendar.ics?t3=M29Q1fR4BH8GkPTiv5Iq5enXibBAvQaqWW-KMApeQxwf1o07s78Ok7FyCiPjngtgxPom7JUQyRYFx7fPohKLwVuXX-nvle0J-MXYK7ISvCVT05Y59Mj0aeBYIlx49Le6
PTO Meeting,#cd69fc,https://polandschools.gofmx.com/calendar.ics?t3=YyEJSSuYWbcCeV740DIA2JrysYeRdkkQgEaNTDH-YYP2ZBJPnz4aKjm0l0IYTXBFi7ggzx8VO_evsqRu2EQK_iiHBEQmyGVfNHhaBTZ-oxZ5tkIl3fBySx_QMB_7ZeIL
School Activity,#0eed3f,https://polandschools.gofmx.com/calendar.ics?t3=yL3jsEJHSyYIRX7XNZyIJkzZWqyFkXh-oQ44UmFX3EB6E_dtHVoUy6HyKhxYUu4QPKTaX48UxmvBoEljVE1Q7fecLXI2YijczzVKPdc68L9IvoUHEtL8xShZCIvmOAWr
Staff Event,#11f5f5,https://polandschools.gofmx.com/calendar.ics?t3=no-EC2qsuxy7wPWWto342i80wW3GkWZOt5L4lkWEtFPtV51cnXvPKHxhv6uHIbID-PWSs7w2FSWJQ32j54YFqR0R71fjPKwCkhVCgQhGh_DRaiwAmVN--_VVYd0hvNHJ
